iter	Passed	Remaining
0	100	280264
1	201	282249
2	292	272642
3	395	276450
4	495	277016
5	617	287574
6	725	289462
7	834	291288
8	915	283781
9	1012	282450
10	1129	286426
11	1237	287424
12	1345	288376
13	1433	285360
14	1578	293096
15	1691	294254
16	1789	292935
17	1891	292345
18	2007	293848
19	2126	295571
20	2269	300365
21	2401	303199
22	2517	303910
23	2657	307410
24	2826	313781
25	2988	318874
26	3104	318887
27	3236	320364
28	3402	325085
29	3567	329426
30	3696	330193
31	3858	333766
32	3988	334445
33	4108	334232
34	4240	334982
35	4362	334943
36	4483	334844
37	4623	336069
38	4769	337647
39	4942	340999
40	5108	343739
41	5236	343889
42	5363	343895
43	5534	346635
44	5680	347766
45	5823	348635
46	5970	349733
47	6100	349758
48	6231	349863
49	6350	349250
50	6493	349996
51	6608	349256
52	6777	351282
53	6949	353414
54	7112	354965
55	7278	356666
56	7429	357528
57	7592	358949
58	7725	358898
59	7864	359131
60	7988	358686
61	8122	358689
62	8257	358759
63	8413	359689
64	8564	360347
65	8700	360412
66	8833	360330
67	8970	360400
68	9120	360969
69	9317	363400
70	9469	363958
71	9597	363639
72	9728	363423
73	9882	364052
74	10029	364388
75	10163	364281
76	10304	364392
77	10438	364283
78	10588	364708
79	10733	364937
80	10850	364215
81	10961	363322
82	11103	363483
83	11252	363819
84	11421	364801
85	11574	365283
86	11688	364483
87	11801	363703
88	11918	363047
89	12070	363454
90	12194	363012
91	12350	363522
92	12497	363760
93	12638	363819
94	12793	364272
95	12929	364192
96	13055	363792
97	13232	364836
98	13337	363873
99	13436	362774
100	13569	362610
101	13745	363586
102	13878	363413
103	14024	363561
104	14134	362784
105	14247	362100
106	14379	361906
107	14486	361088
108	14623	361033
109	14753	360790
110	14878	360436
111	15071	361721
112	15207	361622
113	15350	361674
114	15485	361560
115	15617	361357
116	15750	361179
117	15865	360607
118	15989	360235
119	16134	360331
120	16278	360422
121	16398	359959
122	16522	359607
123	16653	359389
124	16766	358809
125	16912	358915
126	17063	359143
127	17183	358696
128	17316	358550
129	17450	358408
130	17612	358831
131	17720	358166
132	17859	358120
133	18001	358146
134	18195	359185
135	18332	359097
136	18454	358726
137	18591	358631
138	18712	358233
139	18837	357904
140	18984	358003
141	19116	357832
142	19217	357068
143	19328	356511
144	19470	356511
145	19617	356607
146	19768	356782
147	19910	356769
148	20026	356317
149	20150	356000
150	20286	355889
151	20398	355361
152	20548	355497
153	20683	355386
154	20820	355289
155	20949	355071
156	21096	355151
157	21230	355008
158	21372	354999
159	21505	354844
160	21623	354440
161	21752	354211
162	21880	353982
163	22022	353979
164	22151	353758
165	22303	353902
166	22415	353414
167	22549	353272
168	22671	352948
169	22818	353013
170	22978	353270
171	23128	353387
172	23259	353199
173	23380	352853
174	23509	352646
175	23635	352377
176	23757	352069
177	23877	351721
178	24030	351872
179	24160	351675
180	24293	351517
181	24411	351148
182	24544	350997
183	24682	350922
184	24794	350466
185	24928	350333
186	25058	350147
187	25175	349783
188	25298	349493
189	25411	349075
190	25536	348827
191	25669	348679
192	25782	348260
193	25910	348051
194	26048	347977
195	26180	347821
196	26309	347635
197	26430	347330
198	26568	347265
199	26708	347208
200	26850	347179
201	27016	347467
202	27187	347811
203	27340	347917
204	27483	347900
205	27630	347934
206	27764	347789
207	27901	347694
208	28050	347741
209	28187	347648
210	28333	347652
211	28471	347562
212	28622	347630
213	28767	347630
214	28885	347298
215	29012	347079
216	29147	346948
217	29261	346568
218	29370	346143
219	29500	345962
220	29660	346128
221	29774	345760
222	29924	345806
223	30081	345938
224	30231	345982
225	30376	345973
226	30484	345534
227	30615	345365
228	30729	345007
229	30848	344692
230	30975	344488
231	31098	344225
232	31221	343975
233	31344	343722
234	31482	343624
235	31601	343333
236	31741	343266
237	31870	343074
238	31993	342822
239	32149	342930
240	32276	342721
241	32403	342513
242	32533	342338
243	32644	341963
244	32775	341804
245	32880	341374
246	33033	341435
247	33168	341314
248	33293	341090
249	33431	341004
250	33575	340972
251	33717	340926
252	33875	341027
253	34001	340814
254	34117	340507
255	34281	340673
256	34407	340456
257	34563	340540
258	34699	340434
259	34832	340286
260	34972	340207
261	35118	340196
262	35223	339774
263	35364	339710
264	35505	339649
265	35634	339468
266	35751	339173
267	35865	338851
268	35990	338632
269	36154	338778
270	36291	338679
271	36407	338371
272	36571	338517
273	36717	338498
274	36839	338252
275	36968	338076
276	37088	337810
277	37232	337774
278	37395	337895
279	37501	337516
280	37630	337331
281	37757	337142
282	37885	336949
283	38007	336710
284	38166	336798
285	38280	336496
286	38416	336374
287	38568	336407
288	38692	336182
289	38838	336151
290	38977	336066
291	39105	335877
292	39266	335980
293	39420	336015
294	39575	336060
295	39703	335873
296	39846	335814
297	39969	335581
298	40106	335473
299	40226	335219
300	40360	335086
301	40502	335019
302	40635	334875
303	40747	334562
304	40897	334558
305	41025	334367
306	41163	334270
307	41294	334113
308	41452	334170
309	41599	334140
310	41726	333949
311	41872	333903
312	42042	334059
313	42173	333899
314	42305	333745
315	42448	333677
316	42578	333507
317	42696	333249
318	42836	333159
319	42974	333054
320	43107	332910
321	43245	332803
322	43355	332482
323	43508	332489
324	43630	332259
325	43761	332105
326	43912	332098
327	44052	332005
328	44175	331784
329	44301	331587
330	44438	331474
331	44558	331234
332	44688	331070
333	44828	330982
334	44972	330917
335	45087	330639
336	45201	330360
337	45339	330253
338	45468	330084
339	45595	329898
340	45734	329796
341	45862	329620
342	46029	329718
343	46170	329632
344	46316	329582
345	46454	329480
346	46603	329448
347	46734	329288
348	46859	329091
349	46964	328753
350	47083	328510
351	47211	328333
352	47341	328169
353	47493	328163
354	47647	328161
355	47767	327931
356	47900	327788
357	48018	327548
358	48147	327375
359	48271	327171
360	48414	327099
361	48560	327044
362	48685	326852
363	48813	326674
364	48967	326673
365	49100	326529
366	49242	326451
367	49356	326181
368	49493	326066
369	49616	325860
370	49737	325639
371	49862	325445
372	49998	325327
373	50125	325144
374	50276	325118
375	50403	324944
376	50523	324718
377	50672	324678
378	50806	324546
379	50950	324472
380	51099	324433
381	51229	324276
382	51345	324026
383	51466	323807
384	51586	323590
385	51746	323616
386	51872	323431
387	51989	323190
388	52117	323021
389	52270	323005
390	52405	322879
391	52543	322769
392	52689	322704
393	52818	322539
394	52946	322372
