iter	MAPE	MAE
0	0.9374173983	995438.8918
1	0.8786881127	943962.9568
2	0.823058254	897497.198
3	0.7696543426	853814.8195
4	0.7206810537	811579.9532
5	0.6726783849	770841.8297
6	0.6281506612	732199.9044
7	0.589888878	697440.3674
8	0.5534336577	664205.0572
9	0.5212539573	633706.2908
10	0.4907965677	605609.599
11	0.4630872837	578786.2036
12	0.4376337457	555896.2552
13	0.4143538828	533308.1671
14	0.3940321361	514028.7211
15	0.37561995	495309.9623
16	0.3600750727	479433.6226
17	0.3449261206	463025.7135
18	0.3316242973	448112.722
19	0.320941659	435346.5333
20	0.3079852609	420262.4889
21	0.2988967462	408541.0144
22	0.2888011407	395915.4003
23	0.2782948596	382485.6603
24	0.2708001948	372351.4904
25	0.263042984	362054.5314
26	0.2556849486	351645.2882
27	0.2492237465	342432.8167
28	0.2434306075	333830.3807
29	0.2383351695	326072.6812
30	0.2330557453	318405.0402
31	0.2282404378	310657.172
32	0.2247839869	304683.5644
33	0.2204955826	297412.3402
34	0.2171380913	291707.2845
35	0.2148011633	287290.2711
36	0.211670028	281665.6935
37	0.2091482633	277381.2555
38	0.2071536193	273376.7014
39	0.2049081174	269314.244
40	0.2028006313	265425.3567
41	0.2004835129	260968.8388
42	0.1989618461	257966.5826
43	0.1977210661	255253.6605
44	0.1956715649	251557.4018
45	0.1939994457	248241.2889
46	0.1928486147	245794.0929
47	0.1909581058	242290.6789
48	0.1898115709	239813.5581
49	0.1892413726	238439.2782
50	0.1883822067	236516.9991
51	0.1874557704	234385.9237
52	0.1863723402	232298.5982
53	0.1851394921	229975.1669
54	0.1840203818	227519.8241
55	0.1829343047	225311.6846
56	0.1819259768	223280.3308
57	0.1814044084	222044.57
58	0.1806844505	220468.1261
59	0.1801089656	219134.4054
60	0.1792553521	217500.1288
61	0.1783829872	215753.3749
62	0.1777339134	214486.984
63	0.1772963861	213554.4767
64	0.1768120624	212684.0417
65	0.1762869771	211733.1102
66	0.1757900131	210713.3828
67	0.1752777671	209789.0907
68	0.1745032733	208530.0972
69	0.1743327267	208108.686
70	0.1737065675	206826.2445
71	0.1732539971	205906.1508
72	0.1727578127	204896.7918
73	0.172430345	204278.5517
74	0.1719811657	203377.4241
75	0.1716187693	202627.6761
76	0.1712992353	201843.8441
77	0.1708608753	201118.1228
78	0.1705091355	200520.7159
79	0.170248531	200067.4816
80	0.169967882	199617.7348
81	0.1695190936	198866.8617
82	0.1692965139	198444.7821
83	0.1688808373	197819.1036
84	0.1686571068	197465.6317
85	0.1683073917	196799.9536
86	0.168039334	196362.5282
87	0.1676914015	195737.6918
88	0.1672466382	194981.0446
89	0.1668671709	194476.5965
90	0.1664822947	193924.3879
91	0.1662034551	193483.1243
92	0.1660157574	193119.7195
93	0.1656766975	192370.5327
94	0.1653815835	191855.9232
95	0.1647633211	190944.7146
96	0.1643858185	190267.8776
97	0.1641125624	189764.637
98	0.163994224	189600.4085
99	0.1637930633	189265.0801
100	0.1635450672	188905.4406
101	0.1633791373	188560.8619
102	0.1632197534	188276.1442
103	0.1629589263	187884.9379
104	0.1626490508	187456.2958
105	0.1624783092	187317.8188
106	0.1622470603	187039.9638
107	0.1620211447	186696.3734
108	0.1618265301	186390.5854
109	0.161579435	186008.3278
110	0.1613265742	185716.4578
111	0.1609284602	185189.8462
112	0.1607335309	184968.7361
113	0.1605365947	184810.0048
114	0.1603356833	184470.1397
115	0.160172536	184155.8067
116	0.1598873278	183782.2899
117	0.1597623778	183665.5159
118	0.1596343247	183521.5901
119	0.1594304039	183260.5326
120	0.1592386142	183023.5312
121	0.1590874939	182835.2542
122	0.1589342923	182704.169
123	0.1586752319	182286.4932
124	0.1585775755	182122.4186
125	0.1583695091	181791.6934
126	0.1581890228	181549.8479
127	0.1579817691	181259.2019
128	0.1576587113	180842.3074
129	0.1575349014	180660.2804
130	0.1574081479	180532.4118
131	0.1572785225	180409.8057
132	0.1570768671	180194.6891
133	0.1569412534	179980.9609
134	0.1567618973	179769.1751
135	0.1565539959	179491.3639
136	0.1562963532	179018.3102
137	0.1560160308	178676.0201
138	0.1557583631	178379.4651
139	0.1555656231	178179.9431
140	0.1554473317	178048.1606
141	0.1553464631	177949.1731
142	0.1552628365	177828.5906
143	0.1551359979	177738.2118
144	0.1549443726	177525.0849
145	0.1547409426	177195.0138
146	0.1545509189	176928.4065
147	0.1544286337	176726.6221
148	0.1542943284	176545.295
149	0.1541286323	176389.4402
150	0.1539845186	176242.0423
151	0.1538338489	176052.7143
152	0.15373302	175980.7305
153	0.1535866315	175774.3956
154	0.1534444697	175613.5928
155	0.1533074978	175429.4498
156	0.1532098344	175272.7284
157	0.1530575744	175166.3315
158	0.1529415557	175011.2023
159	0.1528438657	174851.2667
160	0.1527219982	174675.0169
161	0.1524749435	174396.1173
162	0.1522950713	174226.5137
163	0.1521793779	174143.2546
164	0.1520953377	174032.223
165	0.1520108681	173967.1823
166	0.1518466735	173832.9012
167	0.151735028	173690.7694
168	0.151578371	173515.6594
169	0.1514440778	173411.6746
