iter	MAPE	MAE
0	0.4132758575	417619.7376
1	0.4005205765	406767.6386
2	0.389079969	397071.2746
3	0.3778127941	387421.9714
4	0.3688020756	379628.6846
5	0.3603852155	372192.3395
6	0.3520948567	365328.0451
7	0.3443518005	358824.0926
8	0.337445444	353006.6736
9	0.3313512606	347559.5953
10	0.3260854005	342752.7465
11	0.3200236616	337345.8043
12	0.3147857064	332749.9708
13	0.3095384184	327895.3429
14	0.3040895353	322418.8513
15	0.2990023368	318699.9133
16	0.2953371366	315105.7378
17	0.2916722311	311835.883
18	0.2881720085	308522.1342
19	0.2847477345	305171.3678
20	0.280874791	302078.9622
21	0.2777449251	299181.6988
22	0.2747001175	296332.0615
23	0.2720370978	293540.9548
24	0.2688167631	290153.715
25	0.2661104578	287826.3073
26	0.2630955356	284627.5863
27	0.2608982995	282967.6629
28	0.2587158472	281328.153
29	0.2566883034	279635.1071
30	0.2536857321	276843.4255
31	0.2513841648	274325.5768
32	0.2496654346	272533.7149
33	0.2477856598	271266.3439
34	0.2461951452	269785.8883
35	0.2448508471	268514.1511
36	0.2430825481	267011.7456
37	0.2414642852	265338.6677
38	0.2391229105	263207.6136
39	0.2371906072	261500.4606
40	0.2356111419	259618.8538
41	0.2337059944	258194.5603
42	0.2328431698	257238.6132
43	0.2310133988	255588.3363
44	0.2293352634	254275.2025
45	0.2280593515	252792.8371
46	0.2268666205	251929.6239
47	0.2253678115	250651.2549
48	0.2237784474	249392.2299
49	0.2223613099	247986.0117
50	0.2215526507	247246.4935
51	0.2205904861	246425.712
52	0.2194338403	245693.9032
53	0.2181436711	244557.6309
54	0.2169346515	243620.6859
55	0.2159580143	242697.505
56	0.2151281503	242057.8532
57	0.2141547447	240994.9222
58	0.2133402994	240180.5636
59	0.2123476547	239306.6071
60	0.211507312	238570.2145
61	0.2107198668	237566.1525
62	0.2100151733	236873.1116
63	0.2092067895	235872.7666
64	0.2087103497	235305.3713
65	0.2078720378	234533.6845
66	0.2073659501	233864.5597
67	0.2070071773	233461.9286
68	0.2063614429	232879.5698
69	0.2057229492	231997.5511
70	0.2052396952	231636.0111
71	0.2048419691	231201.1022
72	0.2043000935	230573.1975
73	0.2039201463	230147.9288
74	0.203418107	229796.6472
75	0.2027718171	229095.6766
76	0.2023057822	228711.9907
77	0.201782457	228183.3941
78	0.201389957	227710.2567
79	0.2010757579	227372.8662
80	0.2005540802	226858.061
81	0.2000888007	226370.3867
82	0.199691633	225967.0456
83	0.1993287237	225675.0844
84	0.1989679378	225252.5393
85	0.1986038509	224764.3994
86	0.198084795	224290.8711
87	0.19772589	223879.077
88	0.1972160255	223380.846
89	0.1968650477	222992.1505
90	0.1966482398	222707.4394
91	0.1962436286	222331.6393
92	0.1958836147	221975.9685
93	0.1955121859	221767.8862
94	0.1952149205	221493.1213
95	0.1950594648	221322.8727
96	0.1946946791	221111.4422
97	0.1943980627	220810.9553
98	0.1941254242	220544.7852
99	0.193838782	220366.4108
100	0.1935686588	220096.8383
101	0.1932715392	219827.2714
102	0.1930029224	219505.8659
103	0.1927184642	219299.2139
104	0.1923409868	218894.6988
105	0.1921393451	218740.6284
106	0.1919648267	218396.8138
107	0.1916628621	218080.7601
108	0.191366092	217863.9721
109	0.1911631988	217635.394
110	0.1909463452	217504.239
111	0.1906639729	217211.9828
112	0.190457588	216948.2321
113	0.190205175	216732.7567
114	0.1900102258	216463.8557
115	0.1898236931	216280.199
116	0.1895660672	216024.2132
117	0.189300914	215849.4554
118	0.1891206667	215730.3326
119	0.1889166795	215500.739
120	0.1886921162	215344.6059
121	0.1885141234	215229.9186
122	0.188372561	215066.9688
123	0.1881353467	214687.1592
124	0.1879608403	214505.1392
125	0.1877996891	214368.1261
126	0.1876647548	214238.2324
127	0.1874435866	214106.8327
128	0.1872903464	213895.5766
129	0.186977895	213565.1472
130	0.1868500167	213461.6699
131	0.1866843406	213263.7885
132	0.1865287483	213008.0771
133	0.1863472406	212781.0666
134	0.1861352035	212680.5796
135	0.1859941826	212588.5644
136	0.1858283779	212494.1265
137	0.1856683788	212411.1549
138	0.1855127366	212219.6322
139	0.1853875754	211991.2056
140	0.1852244137	211709.9598
141	0.1851710176	211622.5858
142	0.1849995111	211434.0147
143	0.1848354777	211132.5709
144	0.1847212527	211054.8181
145	0.1845674607	210832.0792
146	0.1843919164	210502.3878
147	0.1842462278	210303.1815
148	0.1841240116	210155.8281
149	0.1839737577	210011.8991
150	0.1838689728	209854.8872
