iter	Passed	Remaining
0	16	16722
1	35	17642
2	58	19573
3	82	20630
4	101	20160
5	118	19608
6	144	20465
7	161	20019
8	180	19915
9	200	19808
10	218	19675
11	241	19854
12	260	19750
13	280	19759
14	298	19569
15	316	19437
16	338	19555
17	356	19441
18	378	19521
19	394	19312
20	412	19237
21	431	19165
22	447	19006
23	468	19048
24	486	18987
25	506	18975
26	524	18888
27	541	18788
28	556	18637
29	574	18582
30	586	18335
31	606	18334
32	627	18388
33	649	18453
34	679	18734
35	705	18892
36	724	18861
37	743	18814
38	758	18695
39	778	18694
40	796	18637
41	812	18526
42	832	18524
43	848	18439
44	863	18333
45	883	18331
46	899	18231
47	915	18152
48	934	18133
49	950	18066
50	969	18043
51	992	18085
52	1014	18132
53	1031	18069
54	1049	18030
55	1067	18002
56	1083	17928
57	1103	17923
58	1124	17941
59	1146	17958
60	1162	17898
61	1186	17943
62	1211	18019
63	1229	17974
64	1248	17961
65	1269	17968
66	1284	17888
67	1304	17884
68	1324	17870
69	1344	17856
70	1364	17847
71	1384	17850
72	1406	17857
73	1423	17813
74	1442	17788
75	1460	17752
76	1478	17726
77	1494	17666
78	1515	17673
79	1538	17691
80	1554	17635
81	1574	17628
82	1595	17629
83	1611	17577
84	1630	17551
85	1651	17550
86	1671	17544
87	1687	17488
88	1707	17480
89	1731	17506
90	1746	17445
91	1761	17389
92	1780	17363
93	1806	17413
94	1830	17433
95	1850	17423
96	1868	17392
97	1887	17371
98	1904	17335
99	1923	17312
100	1942	17293
101	1964	17294
102	1989	17327
103	2006	17290
104	2026	17271
105	2044	17244
106	2065	17239
107	2084	17214
108	2102	17182
109	2124	17190
110	2142	17158
111	2158	17113
112	2176	17083
113	2194	17058
114	2216	17058
115	2236	17041
116	2255	17025
117	2275	17007
118	2291	16961
119	2313	16964
120	2332	16942
121	2353	16940
122	2371	16907
123	2393	16912
124	2414	16900
125	2437	16904
126	2459	16909
127	2481	16907
128	2501	16891
129	2523	16887
130	2548	16907
131	2566	16879
132	2589	16878
133	2613	16890
134	2633	16872
135	2657	16884
136	2677	16866
137	2699	16860
138	2713	16806
139	2732	16783
140	2749	16751
141	2766	16716
142	2790	16724
143	2808	16696
144	2833	16709
145	2855	16704
146	2873	16673
147	2902	16708
148	2940	16793
149	2960	16775
150	2984	16781
151	3006	16774
152	3027	16760
153	3049	16750
154	3066	16717
155	3083	16684
156	3101	16652
157	3118	16620
