iter	Passed	Remaining
0	81	81415
1	139	69489
2	194	64716
3	238	59401
4	281	56106
5	323	53627
6	367	52200
7	410	50863
8	453	49951
9	492	48720
10	533	47989
11	576	47468
12	619	47014
13	658	46366
14	696	45766
15	732	45051
16	768	44410
17	797	43495
18	821	42436
19	859	42137
20	895	41752
21	932	41444
22	967	41112
23	997	40560
24	1032	40284
25	1069	40079
26	1104	39806
27	1139	39555
28	1175	39349
29	1207	39057
30	1243	38873
31	1279	38704
32	1314	38529
33	1352	38421
34	1391	38361
35	1426	38203
36	1463	38096
37	1502	38048
38	1541	37974
39	1580	37922
40	1618	37862
41	1658	37819
42	1695	37738
43	1731	37628
44	1766	37493
45	1800	37350
46	1834	37204
47	1871	37109
48	1905	36989
49	1942	36916
50	1977	36804
51	2011	36668
52	2040	36455
53	2074	36348
54	2109	36240
55	2142	36116
56	2173	35953
57	2208	35863
58	2244	35795
59	2278	35689
60	2311	35575
61	2341	35430
62	2375	35333
63	2408	35230
64	2443	35155
65	2478	35070
66	2511	34977
67	2549	34943
68	2585	34891
69	2622	34846
70	2658	34790
71	2694	34726
72	2729	34665
73	2769	34656
74	2803	34582
75	2838	34514
76	2877	34488
77	2914	34454
78	2951	34411
79	2990	34388
80	3028	34358
81	3066	34325
82	3100	34254
83	3139	34238
84	3174	34176
85	3212	34140
86	3246	34069
87	3282	34014
88	3313	33915
89	3348	33858
90	3386	33829
91	3420	33755
92	3456	33706
93	3493	33672
94	3520	33536
95	3555	33479
96	3595	33467
97	3632	33433
98	3669	33395
99	3702	33325
100	3733	33228
101	3765	33148
102	3794	33049
103	3826	32964
104	3856	32875
105	3889	32807
106	3921	32727
107	3952	32648
108	3983	32565
109	4016	32500
110	4048	32425
111	4079	32346
112	4112	32283
113	4143	32205
114	4172	32110
115	4205	32048
116	4237	31982
117	4266	31892
118	4301	31842
119	4333	31775
120	4366	31722
121	4400	31669
122	4430	31592
123	4465	31546
124	4496	31478
125	4525	31390
126	4555	31314
127	4581	31211
128	4610	31128
129	4642	31067
130	4675	31012
131	4707	30958
132	4741	30907
133	4775	30863
134	4808	30809
135	4840	30749
136	4861	30626
137	4891	30556
138	4924	30503
139	4958	30457
140	4991	30409
141	5022	30349
142	5053	30283
143	5084	30224
144	5117	30175
145	5148	30113
146	5174	30029
147	5207	29977
148	5241	29936
149	5271	29873
150	5302	29812
151	5333	29754
152	5366	29708
153	5398	29654
154	5431	29612
155	5462	29555
156	5495	29506
157	5530	29472
158	5564	29434
159	5598	29392
160	5631	29345
161	5664	29304
162	5690	29222
163	5723	29175
164	5757	29138
165	5787	29075
166	5818	29023
167	5848	28963
168	5878	28904
169	5909	28853
170	5944	28817
171	5978	28778
172	6011	28737
173	6044	28695
174	6079	28658
175	6112	28619
176	6145	28574
177	6170	28493
178	6199	28435
179	6234	28403
180	6269	28369
181	6307	28350
182	6334	28281
183	6362	28218
184	6405	28219
185	6440	28185
186	6474	28147
187	6506	28101
188	6537	28052
189	6573	28022
190	6604	27974
191	6636	27927
192	6667	27880
193	6700	27836
194	6733	27798
195	6768	27766
196	6799	27716
197	6832	27673
198	6866	27639
199	6898	27594
200	6935	27568
201	6966	27522
202	6998	27476
203	7030	27431
204	7061	27385
205	7090	27330
206	7118	27268
207	7148	27217
208	7177	27163
209	7206	27111
210	7236	27060
211	7266	27009
212	7296	26959
213	7326	26909
214	7357	26863
215	7388	26817
216	7421	26778
217	7450	26727
218	7481	26680
219	7512	26634
220	7541	26584
221	7566	26515
222	7593	26457
223	7625	26418
224	7656	26372
225	7687	26329
226	7718	26285
227	7749	26238
228	7778	26189
229	7809	26144
230	7841	26103
231	7871	26057
232	7904	26021
233	7939	25989
234	7978	25971
235	8011	25934
236	8043	25895
237	8077	25862
238	8111	25826
239	8143	25786
240	8174	25743
241	8204	25699
242	8235	25654
243	8268	25618
244	8300	25578
245	8335	25549
246	8366	25506
247	8397	25464
248	8429	25423
249	8458	25375
250	8490	25337
251	8524	25302
252	8558	25270
253	8591	25234
254	8625	25198
255	8660	25170
256	8694	25135
257	8727	25101
258	8761	25067
259	8794	25031
260	8827	24993
261	8860	24957
262	8893	24920
263	8918	24864
264	8943	24806
265	8977	24771
266	9010	24736
267	9045	24706
268	9076	24664
269	9109	24629
270	9142	24593
271	9169	24541
272	9197	24493
273	9225	24443
274	9257	24407
275	9289	24367
276	9322	24332
277	9353	24293
278	9390	24266
279	9424	24233
280	9452	24187
281	9481	24142
282	9515	24107
283	9547	24069
284	9577	24027
285	9610	23991
286	9638	23945
287	9665	23896
288	9696	23855
289	9722	23802
290	9751	23759
291	9781	23717
292	9810	23671
293	9839	23628
