iter	Logloss
0	0.6851635129
1	0.6770034863
2	0.6699477943
3	0.6628336399
4	0.6552518177
5	0.6482621955
6	0.6410359245
7	0.6333736936
8	0.6276733145
9	0.6213205676
10	0.6154290505
11	0.6103496675
12	0.6050816935
13	0.598722396
14	0.5924137126
15	0.5870641392
16	0.5829016319
17	0.5775827762
18	0.5715378494
19	0.5658720569
20	0.5607556686
21	0.5562214859
22	0.5525183398
23	0.5479967249
24	0.5431658316
25	0.5378059865
26	0.5341291882
27	0.5296491079
28	0.524757697
29	0.5204219486
30	0.5162296291
31	0.5119354579
32	0.5076112925
33	0.5031951598
34	0.4982437239
35	0.493715161
36	0.4901909224
37	0.4863561874
38	0.4824350313
39	0.4785500901
40	0.4745882717
41	0.470505109
42	0.4669235669
43	0.4631637115
44	0.4600726208
45	0.4568133585
46	0.4536920293
47	0.4504057174
48	0.446844912
49	0.4433127395
50	0.4406077617
51	0.4373179425
52	0.434362268
53	0.4332838277
54	0.4300372133
55	0.4268500184
56	0.4244362455
57	0.4217758274
58	0.4193164999
59	0.4167533243
60	0.4141118052
61	0.411170039
62	0.4089315748
63	0.4068526032
64	0.4056198381
65	0.4035374858
66	0.4010211649
67	0.3992476448
68	0.3975399298
69	0.3951584732
70	0.3924908339
71	0.3900827226
72	0.3879385455
73	0.385901238
74	0.3838613184
75	0.3815682248
76	0.3808580907
77	0.3789058029
78	0.3768011008
79	0.3748190549
80	0.3730302105
81	0.3715676063
82	0.369788204
83	0.3681673259
84	0.3662695639
85	0.3646425353
86	0.3630816513
87	0.3614056929
88	0.359570197
89	0.3580872879
90	0.3569076682
91	0.3552772152
92	0.3541631181
93	0.3528726678
94	0.3514480611
95	0.3497963762
96	0.3485599901
97	0.3472491284
98	0.3456339373
99	0.3451373422
100	0.3437546463
101	0.3424247158
102	0.3410349144
103	0.3398036612
104	0.3381937136
105	0.3366308408
106	0.3352636199
107	0.3338171027
108	0.3327796037
109	0.331263211
110	0.3298100178
111	0.3288260848
112	0.3284353384
113	0.3271969994
114	0.3257212934
115	0.3243088628
116	0.3231818613
117	0.3215792766
118	0.3203704091
119	0.3194976721
120	0.3187441503
121	0.317708553
122	0.3167899724
123	0.3154720819
124	0.3144702666
125	0.3132360341
126	0.3121792028
127	0.3111287424
128	0.3103938224
129	0.3094079052
130	0.3082707816
131	0.3071979625
132	0.3061381256
133	0.3051239543
134	0.3041513548
135	0.3034910409
136	0.3023521687
137	0.3014131928
138	0.300533312
139	0.2996178006
140	0.2984685794
