iter	Passed	Remaining
0	7	7762
1	13	6939
2	19	6615
3	25	6464
4	32	6419
5	38	6446
6	45	6511
7	52	6451
8	58	6409
9	65	6452
10	71	6405
11	75	6232
12	82	6229
13	88	6209
14	95	6290
15	102	6288
16	106	6144
17	112	6155
18	119	6155
19	126	6178
20	132	6155
21	137	6124
22	144	6143
23	150	6101
24	155	6074
25	162	6100
26	168	6055
27	174	6064
28	181	6090
29	188	6078
30	195	6097
31	201	6098
32	208	6107
33	214	6092
34	220	6066
35	225	6032
36	231	6023
37	236	5988
38	242	5982
39	248	5963
40	254	5953
41	260	5943
42	266	5931
43	273	5948
44	280	5942
45	286	5949
46	293	5944
47	299	5944
48	307	5964
49	313	5956
50	320	5961
51	325	5943
52	331	5920
53	334	5858
54	339	5828
55	345	5822
56	352	5833
57	358	5826
58	364	5819
59	371	5814
60	377	5805
61	383	5797
62	389	5788
63	395	5779
64	400	5754
65	406	5750
66	412	5739
67	418	5729
68	424	5721
69	430	5716
70	436	5707
71	441	5694
72	447	5683
73	453	5675
74	459	5670
75	465	5664
76	470	5636
77	476	5632
78	482	5630
79	489	5625
80	495	5622
81	501	5619
82	507	5610
83	514	5607
84	520	5601
85	526	5600
86	533	5595
87	539	5588
88	545	5582
89	551	5576
90	557	5570
91	564	5574
92	569	5554
93	576	5555
94	582	5548
95	588	5545
96	595	5544
97	601	5539
98	608	5536
99	612	5513
100	618	5509
101	625	5509
102	632	5508
103	638	5502
104	645	5499
105	651	5493
106	659	5500
107	665	5495
108	672	5493
109	678	5488
110	684	5485
111	691	5486
112	695	5462
113	702	5456
114	708	5452
115	714	5447
116	722	5451
117	728	5445
118	735	5446
119	742	5443
120	748	5435
121	754	5429
122	760	5424
123	766	5417
124	773	5413
125	779	5406
126	786	5403
127	792	5395
128	797	5384
129	803	5377
130	809	5370
131	815	5365
132	822	5361
133	828	5353
134	834	5348
135	841	5343
136	847	5340
137	854	5335
138	860	5332
139	867	5330
140	874	5324
141	880	5321
142	886	5314
143	892	5307
144	899	5302
145	905	5297
146	911	5290
147	917	5284
148	923	5276
149	930	5273
150	936	5267
