iter	Passed	Remaining
0	13	13398
1	29	14747
2	48	16148
3	69	17286
4	85	16928
5	94	15725
6	108	15372
7	125	15620
8	140	15512
9	153	15179
10	173	15614
11	191	15800
12	205	15567
13	218	15408
14	239	15716
15	254	15651
16	267	15457
17	284	15499
18	302	15609
19	321	15770
20	336	15708
21	352	15650
22	365	15507
23	382	15572
24	397	15500
25	412	15439
26	425	15322
27	444	15431
28	464	15537
29	477	15454
30	492	15408
31	508	15382
32	520	15260
33	534	15174
34	557	15376
35	578	15493
36	593	15459
37	616	15598
38	629	15502
39	649	15598
40	672	15733
41	696	15881
42	718	15982
43	742	16128
44	763	16204
45	778	16141
46	791	16046
47	804	15963
48	818	15887
49	839	15957
50	857	15956
51	872	15913
52	886	15841
53	901	15784
54	914	15715
55	934	15747
56	950	15732
57	969	15739
58	987	15745
59	1001	15696
60	1017	15659
61	1034	15648
62	1051	15635
63	1066	15600
64	1080	15536
65	1098	15546
66	1112	15486
67	1129	15482
68	1152	15551
69	1173	15595
70	1190	15572
71	1210	15599
72	1231	15633
73	1248	15620
74	1266	15618
75	1280	15573
76	1295	15524
77	1308	15467
78	1329	15494
79	1347	15491
80	1360	15432
81	1372	15369
82	1388	15338
83	1402	15297
84	1420	15292
85	1435	15259
86	1458	15307
87	1478	15317
88	1492	15276
89	1505	15222
90	1522	15208
91	1542	15223
92	1561	15225
93	1583	15266
94	1600	15244
95	1614	15200
96	1633	15208
97	1655	15235
98	1670	15205
99	1691	15219
100	1707	15202
101	1731	15244
102	1746	15206
103	1759	15156
104	1777	15154
105	1791	15111
106	1809	15101
107	1823	15059
108	1842	15065
109	1866	15100
110	1888	15124
111	1906	15116
112	1926	15124
113	1940	15081
114	1957	15064
115	1974	15046
116	1992	15037
117	2005	14993
118	2021	14964
119	2039	14954
120	2055	14935
121	2068	14887
122	2082	14849
123	2103	14858
124	2117	14825
125	2137	14825
126	2157	14828
127	2178	14839
128	2193	14809
129	2213	14816
130	2235	14829
131	2255	14834
132	2272	14813
133	2294	14828
134	2314	14827
135	2328	14790
136	2346	14779
137	2361	14750
138	2380	14744
139	2400	14744
140	2417	14729
141	2435	14718
142	2452	14700
143	2474	14712
144	2490	14685
145	2507	14664
146	2522	14635
147	2540	14623
148	2564	14645
149	2580	14622
150	2598	14609
151	2617	14602
152	2638	14604
153	2658	14604
154	2674	14579
155	2687	14539
156	2699	14495
157	2721	14500
158	2737	14478
159	2753	14455
160	2766	14417
161	2779	14377
162	2792	14340
163	2806	14306
164	2824	14292
165	2839	14267
166	2860	14268
167	2884	14282
168	2906	14293
169	2925	14282
170	2938	14244
171	2952	14212
172	2965	14174
173	2979	14144
174	2993	14110
175	3007	14078
176	3020	14044
177	3033	14010
178	3047	13975
179	3066	13971
180	3086	13966
181	3106	13962
182	3124	13947
183	3140	13926
184	3157	13912
185	3172	13885
186	3186	13855
187	3201	13827
188	3215	13799
189	3231	13774
190	3252	13777
191	3265	13743
192	3282	13723
193	3302	13720
194	3316	13690
195	3336	13686
196	3349	13652
197	3366	13635
198	3381	13610
199	3400	13600
200	3423	13610
201	3442	13598
202	3462	13593
203	3477	13569
204	3491	13538
205	3509	13525
206	3524	13502
207	3537	13471
208	3553	13450
209	3567	13421
210	3583	13400
211	3597	13370
212	3610	13341
213	3625	13317
214	3640	13293
215	3656	13272
216	3670	13245
217	3684	13215
218	3699	13193
219	3717	13180
220	3733	13159
221	3751	13147
222	3769	13135
223	3791	13135
224	3813	13136
225	3831	13121
226	3844	13091
227	3861	13076
228	3883	13073
229	3905	13074
230	3922	13057
231	3938	13037
232	3959	13032
233	3982	13035
234	4005	13038
235	4025	13033
236	4044	13021
237	4063	13009
238	4080	12992
239	4092	12959
240	4105	12931
241	4120	12907
242	4134	12878
243	4147	12849
244	4160	12821
245	4173	12793
246	4187	12766
247	4208	12760
248	4226	12747
249	4247	12742
250	4270	12742
251	4292	12741
252	4313	12735
253	4332	12723
254	4346	12697
255	4363	12682
256	4382	12668
257	4397	12646
258	4414	12629
259	4426	12598
260	4443	12581
261	4459	12560
262	4476	12543
263	4492	12523
264	4507	12502
265	4528	12495
266	4547	12483
267	4560	12457
268	4573	12428
269	4591	12413
270	4604	12387
271	4618	12360
272	4635	12345
273	4650	12321
274	4662	12292
275	4675	12264
276	4693	12250
277	4714	12245
278	4737	12241
279	4759	12239
280	4782	12238
281	4803	12230
282	4816	12203
283	4837	12196
284	4859	12191
285	4881	12187
286	4901	12177
287	4918	12158
288	4931	12132
289	4945	12107
290	4963	12092
291	4980	12075
292	4996	12056
293	5013	12038
294	5027	12013
295	5041	11989
296	5056	11968
297	5069	11942
298	5086	11924
299	5098	11896
300	5116	11882
301	5136	11871
302	5154	11857
303	5170	11837
304	5182	11809
305	5201	11797
306	5215	11772
307	5232	11755
308	5253	11748
309	5269	11728
310	5281	11701
311	5294	11675
312	5313	11661
313	5328	11641
314	5346	11625
315	5363	11610
316	5379	11590
317	5399	11579
318	5413	11556
319	5435	11550
320	5454	11538
321	5471	11520
322	5485	11497
323	5500	11476
324	5513	11450
325	5531	11436
326	5550	11423
327	5564	11400
328	5581	11383
329	5600	11370
330	5617	11354
331	5631	11331
332	5649	11314
333	5666	11299
334	5682	11279
335	5696	11257
336	5709	11232
337	5722	11207
338	5735	11182
339	5747	11157
340	5760	11132
341	5773	11107
342	5792	11094
343	5805	11071
344	5822	11053
345	5838	11035
346	5855	11019
347	5878	11014
348	5896	10999
349	5909	10975
350	5922	10951
351	5936	10929
352	5954	10913
353	5971	10897
354	5984	10874
355	6001	10857
356	6018	10840
357	6032	10818
358	6047	10798
359	6062	10777
360	6080	10762
361	6093	10740
362	6112	10726
363	6129	10709
364	6145	10690
365	6160	10671
366	6180	10659
367	6195	10640
368	6208	10617
369	6223	10597
370	6236	10574
371	6256	10561
372	6276	10550
373	6289	10527
374	6302	10504
375	6316	10482
376	6331	10463
377	6346	10442
378	6360	10421
379	6373	10399
380	6385	10374
381	6400	10355
382	6417	10338
383	6431	10316
384	6448	10301
385	6466	10285
386	6481	10265
387	6494	10243
388	6507	10221
389	6520	10199
390	6538	10183
391	6559	10173
392	6576	10157
393	6593	10141
394	6611	10126
395	6627	10108
396	6644	10091
397	6658	10071
398	6671	10049
399	6685	10027
400	6697	10004
401	6716	9991
402	6738	9982
403	6753	9963
404	6768	9943
405	6780	9920
406	6795	9901
407	6812	9884
408	6830	9869
409	6848	9854
410	6862	9835
411	6881	9820
412	6902	9810
413	6915	9788
414	6935	9776
