iter	MAPE	MAE
0	0.9661408611	59.57125513
1	0.9369837485	58.76337921
2	0.9050164974	57.77222042
3	0.874651043	56.75668585
4	0.8457443692	55.80493398
5	0.8191875582	54.84794186
6	0.7929307654	53.95909184
7	0.7694667996	53.304314
8	0.7433700257	52.50198353
9	0.718585429	51.67850423
10	0.6937943652	50.95369652
11	0.6692035459	50.18589061
12	0.6468767301	49.58841745
13	0.626267645	48.93403733
14	0.6077423405	48.30665774
15	0.5903956747	47.73266187
16	0.5749866302	47.08799394
17	0.557046706	46.47831521
18	0.5384725671	45.89001895
19	0.5227314425	45.36536762
20	0.5043336688	44.68097889
21	0.4918499134	44.15350793
22	0.4795855151	43.78765818
23	0.4703824241	43.35145987
24	0.4575796726	42.89005786
25	0.4481831433	42.52459826
26	0.4381043833	42.14187409
27	0.4296669523	41.82825591
28	0.4190857767	41.33714972
29	0.4106471473	40.9953648
30	0.4003166415	40.55768555
31	0.393276334	40.24714525
32	0.3884310955	39.93104275
33	0.3809663555	39.50627535
34	0.3756293335	39.16929768
35	0.372719921	38.97456806
36	0.3673474492	38.64812108
37	0.3613962815	38.28530945
38	0.3583539231	38.07628583
39	0.3544364927	37.78256694
40	0.351674095	37.59495834
41	0.3490236639	37.41258377
42	0.3464832659	37.23548
43	0.3439622951	37.06139815
44	0.3419920988	36.76649385
45	0.3406143899	36.64429572
46	0.3384023995	36.48415819
47	0.3362737006	36.33475038
48	0.3346100351	36.19979096
49	0.3330270788	36.06921358
50	0.3311533649	35.94959093
51	0.3297784304	35.82001442
52	0.3288831624	35.7196472
53	0.3267684737	35.58935744
54	0.3260949087	35.49384867
55	0.3241512707	35.37238041
56	0.3223880423	35.28137907
57	0.3206795706	35.17072424
58	0.3191289953	34.99753378
59	0.3187373029	34.92951562
60	0.3185743342	34.86738924
61	0.3185448507	34.80241524
62	0.3180334969	34.72634961
63	0.3182716556	34.66353838
64	0.3177590016	34.59303268
65	0.3173339483	34.52182974
66	0.3174791275	34.46633474
67	0.3172002516	34.40349915
68	0.3156650353	34.25050261
69	0.3146862212	34.14670979
70	0.3138909887	34.05202403
71	0.3122912223	33.93931204
72	0.3117840745	33.84467167
73	0.3109671965	33.75658757
74	0.3099852817	33.56202748
75	0.3088184058	33.40873475
