iter	Passed	Remaining
0	14	14844
1	23	11637
2	33	11222
3	44	10972
4	52	10471
5	60	9992
6	69	9902
7	80	9929
8	90	9953
9	100	9940
10	111	9995
11	121	10041
12	133	10100
13	143	10109
14	154	10158
15	164	10142
16	175	10165
17	185	10141
18	195	10092
19	205	10081
20	215	10066
21	224	9993
22	234	9944
23	242	9850
24	250	9761
25	259	9708
26	268	9682
27	277	9618
28	284	9538
29	291	9439
30	299	9355
31	307	9289
32	314	9206
33	323	9177
34	330	9115
35	339	9084
36	345	8997
37	352	8924
38	361	8909
39	371	8905
40	379	8866
41	388	8858
42	396	8824
43	406	8822
44	415	8815
45	424	8806
46	433	8797
47	443	8804
48	452	8791
49	464	8816
50	473	8811
51	481	8783
52	489	8748
53	498	8732
54	505	8677
55	513	8658
56	520	8606
57	528	8581
58	535	8547
59	543	8513
60	551	8486
61	558	8453
62	565	8417
63	573	8385
64	581	8364
65	587	8319
66	596	8299
67	601	8239
68	607	8202
69	615	8172
70	622	8148
71	630	8129
72	638	8106
73	645	8078
74	651	8038
75	659	8018
76	664	7967
77	672	7949
78	678	7910
79	684	7870
80	691	7848
81	697	7808
82	704	7786
83	711	7754
84	718	7737
85	726	7717
86	732	7689
87	739	7668
88	745	7629
89	752	7613
90	758	7580
91	765	7553
92	772	7536
93	778	7502
94	786	7490
95	803	7568
96	810	7541
97	817	7520
98	823	7498
99	830	7478
100	838	7459
101	843	7428
102	851	7417
103	858	7392
104	865	7380
105	873	7364
106	880	7352
107	888	7336
108	895	7318
109	902	7300
110	907	7266
111	914	7252
112	920	7226
113	928	7213
114	934	7194
115	941	7176
116	948	7161
117	955	7138
118	962	7129
119	969	7106
120	977	7097
121	983	7077
122	990	7063
123	997	7046
124	1003	7024
125	1011	7015
126	1016	6989
127	1024	6980
128	1031	6962
129	1037	6940
130	1042	6915
131	1049	6904
132	1057	6896
133	1064	6882
134	1072	6872
135	1079	6858
136	1085	6839
137	1093	6829
138	1098	6802
139	1105	6791
140	1113	6781
141	1121	6775
142	1128	6760
143	1133	6740
144	1141	6729
145	1147	6714
146	1154	6701
147	1161	6685
148	1168	6674
149	1175	6661
150	1183	6651
151	1190	6642
152	1197	6628
153	1204	6618
154	1211	6604
155	1218	6593
156	1225	6581
157	1232	6569
158	1239	6558
159	1247	6547
160	1254	6535
161	1260	6519
162	1268	6512
163	1275	6501
164	1283	6493
165	1290	6484
166	1298	6476
167	1305	6466
168	1313	6457
169	1320	6446
170	1327	6436
171	1334	6424
172	1340	6408
173	1347	6398
174	1354	6385
175	1361	6374
176	1369	6365
177	1376	6357
178	1383	6345
179	1390	6332
180	1397	6321
181	1403	6310
182	1411	6302
183	1419	6293
184	1426	6285
185	1433	6273
186	1440	6264
187	1447	6252
188	1454	6242
189	1461	6232
190	1468	6220
191	1475	6208
192	1482	6198
193	1489	6189
194	1496	6178
195	1503	6166
196	1512	6163
197	1518	6152
198	1526	6142
199	1532	6131
200	1539	6121
201	1547	6113
202	1555	6105
203	1562	6097
204	1569	6088
205	1576	6076
206	1582	6061
207	1589	6053
208	1596	6042
209	1604	6036
210	1612	6029
211	1619	6021
212	1627	6013
213	1635	6006
214	1642	5996
215	1650	5990
216	1657	5980
217	1664	5971
218	1672	5964
219	1679	5954
220	1687	5946
221	1694	5938
222	1701	5929
223	1708	5919
224	1715	5910
225	1722	5900
226	1730	5891
227	1737	5883
228	1744	5872
229	1752	5866
230	1758	5855
231	1766	5848
232	1773	5838
233	1781	5831
234	1787	5819
235	1795	5811
236	1802	5803
237	1810	5795
238	1817	5787
239	1823	5775
240	1831	5766
241	1838	5757
242	1845	5750
243	1852	5739
244	1859	5731
245	1867	5723
246	1873	5712
247	1881	5704
248	1887	5691
249	1895	5685
250	1901	5673
251	1908	5665
252	1915	5656
253	1923	5648
254	1930	5641
255	1937	5630
256	1943	5619
257	1949	5607
258	1957	5600
259	1964	5592
260	1971	5583
261	1978	5573
262	1984	5561
263	1992	5554
264	1997	5541
265	2005	5533
266	2012	5525
267	2020	5518
268	2027	5509
269	2034	5501
270	2041	5492
271	2048	5482
272	2055	5473
273	2062	5464
274	2070	5457
275	2077	5448
276	2083	5438
277	2091	5432
278	2097	5421
279	2104	5412
280	2111	5402
281	2119	5396
282	2126	5386
283	2133	5379
284	2141	5373
285	2149	5365
286	2156	5356
287	2164	5351
288	2172	5344
289	2180	5337
290	2187	5328
291	2193	5318
292	2201	5312
293	2208	5303
294	2216	5297
295	2223	5288
296	2230	5279
297	2237	5271
298	2245	5264
299	2253	5258
300	2261	5250
301	2268	5242
302	2275	5234
303	2283	5227
304	2289	5216
305	2296	5208
306	2302	5197
307	2308	5186
308	2315	5178
309	2321	5167
310	2328	5157
311	2334	5148
312	2342	5140
313	2349	5132
314	2355	5122
315	2363	5116
316	2369	5104
317	2376	5097
318	2382	5086
319	2389	5078
320	2397	5072
321	2404	5062
322	2411	5053
323	2418	5045
324	2425	5037
325	2431	5027
326	2439	5021
327	2447	5013
328	2453	5003
329	2460	4995
330	2466	4986
331	2474	4979
332	2480	4968
333	2488	4961
334	2495	4954
335	2503	4947
336	2510	4938
337	2516	4929
338	2524	4922
339	2530	4912
340	2538	4905
341	2544	4894
342	2551	4888
343	2558	4879
344	2564	4868
345	2572	4862
346	2579	4853
347	2586	4846
348	2592	4836
349	2600	4828
350	2606	4819
351	2612	4809
352	2619	4801
353	2626	4792
354	2634	4785
355	2639	4775
356	2646	4766
357	2654	4759
358	2659	4748
359	2666	4741
360	2673	4732
361	2681	4725
362	2687	4716
363	2694	4707
364	2701	4700
365	2708	4690
366	2715	4683
367	2721	4674
368	2729	4667
369	2735	4658
370	2741	4648
371	2749	4641
372	2754	4630
373	2762	4623
374	2768	4614
375	2776	4607
376	2782	4598
377	2788	4588
378	2795	4581
379	2802	4571
380	2809	4564
381	2816	4556
382	2824	4549
383	2831	4541
384	2837	4532
385	2845	4526
386	2851	4516
387	2859	4510
388	2866	4502
389	2873	4495
390	2880	4486
391	2888	4479
392	2894	4471
393	2900	4461
394	2908	4455
395	2914	4445
396	2922	4438
397	2928	4429
398	2936	4422
399	2943	4415
400	2950	4407
401	2958	4401
402	2964	4392
403	2972	4385
404	2978	4375
405	2986	4369
406	2993	4361
407	3000	4353
408	3007	4345
409	3013	4336
410	3020	4329
411	3025	4317
412	3030	4307
413	3037	4299
414	3042	4289
415	3049	4281
416	3056	4273
417	3063	4265
418	3070	4257
