iter	RMSE
0	7.916774006
1	7.67211723
2	7.456558518
3	7.260512231
4	7.084343375
5	6.919258112
6	6.770223429
7	6.643155288
8	6.528244625
9	6.4256404
10	6.336475655
11	6.259684465
12	6.185137173
13	6.119722211
14	6.061643366
15	6.009393784
16	5.964417385
17	5.925091213
18	5.8859058
19	5.853483273
20	5.822735591
21	5.794603239
22	5.770313791
23	5.746615147
24	5.726206729
25	5.707403862
26	5.687557314
27	5.671486417
28	5.656672487
29	5.641457264
30	5.628911572
31	5.617747572
32	5.606547468
33	5.596348383
34	5.58642563
35	5.579349841
36	5.571376064
37	5.56486393
38	5.556902125
39	5.550536686
40	5.54482053
41	5.539699438
42	5.534459918
43	5.528512992
44	5.523043661
45	5.516753026
46	5.512206414
47	5.505906938
48	5.501857926
49	5.497680684
50	5.494372685
51	5.487794905
52	5.484559415
53	5.479242239
54	5.473798769
55	5.469412042
56	5.466319344
57	5.461254604
58	5.458383136
59	5.455890057
60	5.453680985
61	5.449221811
62	5.446326271
63	5.442181871
64	5.437919785
65	5.435424362
66	5.432207684
67	5.428124982
68	5.425904835
69	5.422562426
70	5.420202895
71	5.416964571
72	5.415240031
73	5.41037079
74	5.407865915
75	5.404395038
76	5.399225181
77	5.396817559
78	5.394804299
79	5.39335194
80	5.389630142
81	5.387234536
82	5.383958559
83	5.38187776
84	5.380476157
85	5.378831
86	5.377474729
87	5.375530108
88	5.373787484
89	5.371714666
90	5.369630049
91	5.367447559
92	5.365129282
93	5.361511669
94	5.359415913
95	5.357851572
96	5.354239241
97	5.351695326
98	5.34971387
99	5.347547468
100	5.346144995
101	5.34400713
102	5.341007568
103	5.339503409
104	5.338712178
105	5.335578688
106	5.332976308
107	5.32944675
108	5.32701132
109	5.325737471
110	5.323864708
111	5.322351231
112	5.320493194
113	5.319359502
114	5.317855285
115	5.316245291
116	5.314784145
117	5.312959318
118	5.309824845
119	5.307984141
120	5.307073819
121	5.305905019
122	5.304774079
123	5.301717389
124	5.299674817
125	5.29752639
126	5.296137694
127	5.292642842
128	5.29152803
129	5.289170994
130	5.287562175
131	5.285157851
132	5.284341283
133	5.282614562
134	5.281669801
135	5.28063989
136	5.278525946
137	5.276153031
138	5.273693016
139	5.272382459
140	5.26966031
141	5.268332716
142	5.265291235
143	5.262738932
144	5.261704603
145	5.260116768
146	5.257905844
147	5.25633994
148	5.255163013
149	5.253250829
150	5.251907989
151	5.250204752
152	5.247768974
153	5.245213165
154	5.242568978
155	5.240265781
156	5.239164212
157	5.237218576
158	5.235631514
159	5.233512402
160	5.232608989
161	5.230386888
162	5.227401606
163	5.224627678
164	5.222778677
165	5.220194038
166	5.218416148
167	5.215819379
168	5.214602008
169	5.212583038
170	5.210149826
171	5.207978623
172	5.206586416
173	5.205154573
174	5.20362731
175	5.202435223
176	5.20105578
177	5.19890322
178	5.197407013
179	5.195270047
180	5.193628833
181	5.19186769
182	5.190575522
183	5.188831449
184	5.187639642
185	5.18601426
186	5.185045612
187	5.183598653
188	5.181489678
189	5.180321596
190	5.178429669
191	5.176088769
192	5.174907125
193	5.172756356
194	5.170818888
195	5.169447959
196	5.167285531
197	5.165678999
198	5.163878813
199	5.16242656
200	5.160096487
201	5.15838018
202	5.15692975
203	5.15593896
204	5.154503255
205	5.153027882
206	5.151341753
207	5.149635232
208	5.14756304
209	5.146029201
210	5.14441616
211	5.143026982
212	5.141823947
213	5.140124585
214	5.138486947
215	5.137207411
216	5.136572289
217	5.134869945
218	5.133703493
219	5.132113551
220	5.129726359
221	5.127890906
222	5.126145854
223	5.12434743
224	5.12334274
225	5.121280369
226	5.119430892
227	5.117646812
228	5.116365058
229	5.115481957
230	5.114130555
231	5.11289207
232	5.111673256
233	5.109453428
234	5.108171841
235	5.106223001
236	5.104699681
237	5.103489887
238	5.101931457
239	5.100355935
240	5.099246047
241	5.098199908
242	5.097182985
243	5.095568878
244	5.094732692
245	5.09330431
246	5.092018498
247	5.090833912
248	5.089149869
249	5.087482072
250	5.086144381
251	5.08503255
252	5.083786302
253	5.082484129
254	5.081427386
255	5.080050849
256	5.078054766
257	5.076616213
258	5.075582398
259	5.074338479
260	5.072683132
261	5.071122364
262	5.069578547
263	5.068147331
264	5.066741782
265	5.064724269
266	5.063656639
267	5.062187938
268	5.060664103
269	5.059584323
270	5.057964581
271	5.056666132
272	5.055339397
273	5.053671937
274	5.052251628
275	5.051125199
276	5.049727749
277	5.048409038
278	5.047344704
279	5.045836099
280	5.044708273
281	5.043417321
282	5.041940165
283	5.041090848
284	5.039255515
285	5.038182002
286	5.036643776
287	5.035642247
288	5.034266618
289	5.033032332
290	5.03177658
291	5.030326919
292	5.028986061
293	5.027735345
294	5.026641747
295	5.025282855
296	5.023937319
297	5.022850372
298	5.020977262
299	5.019854195
300	5.01883863
301	5.017045454
302	5.015777645
303	5.014447485
304	5.013255216
305	5.011931086
306	5.010925734
307	5.009207361
308	5.007469969
309	5.005999831
310	5.005351596
311	5.003786743
312	5.002578193
313	5.001342936
314	5.00018966
315	4.99876484
316	4.997331156
317	4.995551839
318	4.993441235
319	4.992363157
320	4.990783362
321	4.988738675
322	4.987753607
323	4.986314944
324	4.98513376
325	4.984019901
326	4.982983108
327	4.982396782
328	4.981575325
329	4.980490744
330	4.979504245
331	4.978585347
332	4.9773972
333	4.976416044
334	4.975206312
335	4.973139194
336	4.97169947
337	4.970358783
338	4.969072776
339	4.968001253
340	4.966207059
341	4.965346987
342	4.964263648
343	4.963194761
344	4.961767668
345	4.961230536
346	4.95997585
347	4.958544565
348	4.957637906
349	4.955800376
350	4.954818919
351	4.953662622
352	4.952859766
353	4.95199593
354	4.950638499
355	4.949906443
356	4.948905229
357	4.947768865
358	4.946672999
359	4.945475742
360	4.94447706
361	4.943253098
362	4.941623614
363	4.94079173
364	4.939634075
365	4.938432334
366	4.937680217
367	4.936580744
368	4.935545902
369	4.934570707
370	4.933794229
371	4.933156155
372	4.931740987
373	4.930827142
374	4.929915607
375	4.929240158
376	4.928474114
377	4.926484019
378	4.925851881
379	4.924649623
380	4.923439272
381	4.922601998
382	4.920756825
383	4.919910149
384	4.91884071
385	4.917963865
386	4.916581407
387	4.915409343
388	4.913474357
389	4.912871968
390	4.910470603
391	4.909703555
392	4.90872643
393	4.90761171
394	4.906534561
395	4.906139708
396	4.905039907
397	4.904216564
398	4.903272551
399	4.902408373
400	4.901535936
401	4.900720395
402	4.900002915
403	4.898617583
404	4.897272307
405	4.896507785
406	4.895689128
407	4.894842875
408	4.893581556
409	4.892492133
410	4.891523391
411	4.890733286
412	4.889828664
413	4.888307579
414	4.887577276
415	4.885822621
416	4.885239419
417	4.884405166
418	4.883432087
419	4.882256544
420	4.880827635
421	4.880025869
422	4.879249116
423	4.878144323
424	4.876794909
425	4.875315703
426	4.874208458
427	4.872900743
428	4.872015653
429	4.871170134
430	4.870323481
431	4.870107081
432	4.869134335
433	4.868385544
434	4.866641388
435	4.865980589
436	4.865349336
437	4.864441993
438	4.863213845
439	4.862462491
440	4.861318244
441	4.860284629
442	4.858975851
443	4.858333802
444	4.857518269
445	4.856479394
446	4.855809595
447	4.854923068
448	4.853771993
449	4.852458064
450	4.85095132
451	4.849735028
452	4.848876516
453	4.847465446
454	4.846460751
455	4.845455921
456	4.844298218
457	4.842453096
458	4.840754621
459	4.839917558
460	4.838782491
461	4.837665946
462	4.836935439
463	4.836040578
464	4.835304186
465	4.834524296
466	4.833888588
467	4.833184373
468	4.832050605
469	4.831245149
470	4.830757483
471	4.829388559
472	4.828598309
473	4.827921366
474	4.827153397
475	4.825696158
476	4.824777323
477	4.824294254
478	4.823338034
479	4.822580984
480	4.821549384
481	4.820711922
482	4.819861969
483	4.818948973
484	4.81820265
485	4.815986921
486	4.814997985
487	4.814415505
488	4.813377247
489	4.812510334
490	4.811528204
491	4.810622218
492	4.809762791
493	4.808793336
494	4.808068784
495	4.806834311
496	4.806407473
497	4.805054179
498	4.803207062
499	4.802597742
500	4.801822552
501	4.800719002
502	4.799808742
503	4.79906448
504	4.797901181
505	4.79701977
506	4.796473785
507	4.79538801
508	4.794626312
509	4.793474371
510	4.7925602
511	4.791844941
512	4.791031551
513	4.790113324
514	4.7889932
515	4.787419913
516	4.786591328
517	4.785590482
518	4.785016883
519	4.78432636
520	4.78357228
521	4.782378681
522	4.780960896
523	4.779883688
524	4.779229293
525	4.778232618
526	4.777838524
527	4.777172485
528	4.77651945
529	4.775427619
530	4.774634978
531	4.773971587
532	4.772551938
533	4.772230647
534	4.771536083
535	4.770464693
536	4.769882717
537	4.769497415
538	4.768646858
539	4.767548699
540	4.766932421
541	4.766351416
542	4.765931967
543	4.765066008
544	4.764150871
545	4.76366471
546	4.763067537
547	4.761429795
548	4.760634208
549	4.758706625
550	4.757424865
551	4.756464807
552	4.756160771
553	4.755486271
554	4.754918924
555	4.75419849
556	4.753642292
557	4.752837561
558	4.752564522
559	4.751372311
560	4.750380346
561	4.749652719
562	4.748929061
563	4.74730056
564	4.746964171
565	4.746336694
566	4.745201358
567	4.744222103
568	4.743624559
569	4.74261052
570	4.742181459
571	4.741537929
572	4.740859536
573	4.739796539
574	4.738787525
575	4.737367276
576	4.736492524
577	4.735754975
578	4.73437373
579	4.733442544
580	4.732369577
581	4.731197028
582	4.730046885
583	4.729083769
584	4.728349957
585	4.727174869
586	4.726012913
587	4.725415011
588	4.724619426
589	4.724084576
590	4.723330464
591	4.722713759
592	4.722232588
593	4.721846159
594	4.72120094
595	4.720092952
596	4.71944651
597	4.718347535
598	4.71700824
599	4.716152922
600	4.715447829
601	4.714554726
602	4.713118236
603	4.712629569
604	4.712193973
605	4.711623884
606	4.710042164
607	4.709133713
608	4.708445454
609	4.707652687
610	4.707000577
611	4.706445937
612	4.705645643
613	4.704614385
614	4.703876726
615	4.703306885
616	4.702253785
617	4.70141564
618	4.700583942
619	4.699997089
620	4.699091151
621	4.698238903
622	4.696634692
623	4.695888243
624	4.694985641
625	4.694221227
626	4.69354163
627	4.692674264
628	4.691566897
629	4.690595735
630	4.689307851
631	4.687977934
632	4.686651301
633	4.685659642
634	4.684698668
635	4.684169031
636	4.682695294
637	4.681801667
638	4.681255077
639	4.680690715
640	4.680004732
641	4.679176164
642	4.67771078
643	4.675724716
644	4.674447197
645	4.673586311
646	4.673257277
647	4.672608639
648	4.671833921
649	4.671000856
650	4.670324269
651	4.66962678
652	4.668933818
653	4.66821213
654	4.667565862
655	4.666584732
656	4.665803913
657	4.665520389
658	4.664107068
659	4.66323214
660	4.66254656
661	4.662080472
662	4.661124213
663	4.660444373
664	4.659593504
665	4.658793333
666	4.657549098
667	4.656764854
668	4.656330203
669	4.655402918
670	4.654036048
671	4.653274302
672	4.652187008
673	4.651504993
674	4.651173147
675	4.650625044
676	4.650248051
677	4.649427817
678	4.64848197
679	4.647098481
680	4.64657467
681	4.646014715
682	4.644485684
683	4.644121111
