iter	Passed	Remaining
0	6	12510
1	16	16299
2	22	15048
3	29	14824
4	37	14807
5	42	14147
6	50	14321
7	56	14069
8	66	14808
9	76	15208
10	83	15163
11	91	15141
12	101	15539
13	108	15326
14	116	15389
15	123	15331
16	133	15558
17	139	15376
18	147	15415
19	153	15220
20	162	15342
21	172	15485
22	179	15466
23	194	16044
24	201	15941
25	209	15884
26	218	15940
27	226	15951
28	235	15995
29	244	16039
30	253	16080
31	262	16152
32	271	16163
33	278	16127
34	286	16077
35	293	15990
36	303	16108
37	311	16082
38	326	16406
39	336	16476
40	343	16429
41	351	16409
42	360	16401
43	368	16390
44	377	16385
45	385	16372
46	392	16325
47	399	16257
48	406	16195
49	412	16084
50	419	16049
51	430	16127
52	440	16164
53	447	16138
54	453	16034
55	460	15984
56	465	15866
57	472	15817
58	478	15729
59	483	15648
60	491	15635
61	503	15726
62	511	15715
63	517	15649
64	523	15591
65	533	15633
66	540	15593
67	548	15572
68	563	15777
69	573	15801
70	579	15735
71	588	15761
72	601	15879
73	612	15951
74	623	16007
75	633	16034
76	639	15982
77	648	15976
78	656	15962
79	668	16054
80	679	16088
81	687	16081
82	696	16083
83	705	16103
84	713	16075
85	724	16125
86	732	16104
87	740	16087
88	746	16027
89	755	16023
90	762	16002
91	770	15986
92	777	15939
93	785	15928
94	790	15853
95	801	15893
96	808	15868
97	817	15859
98	822	15791
99	830	15786
100	835	15717
101	840	15645
102	847	15617
103	856	15610
104	863	15583
105	872	15597
106	878	15534
107	887	15550
108	894	15515
109	902	15508
110	910	15494
111	917	15458
112	925	15451
113	934	15465
114	944	15476
115	950	15433
116	962	15491
117	969	15463
118	977	15443
119	983	15407
120	992	15405
121	1003	15451
122	1010	15426
123	1020	15439
124	1027	15416
125	1034	15387
126	1042	15372
127	1048	15330
128	1052	15268
129	1061	15275
130	1067	15229
131	1073	15196
132	1078	15138
133	1089	15171
134	1097	15168
135	1104	15133
136	1110	15101
137	1118	15094
138	1128	15103
139	1137	15106
140	1145	15099
141	1150	15059
142	1158	15047
143	1165	15018
144	1170	14972
145	1176	14944
146	1184	14930
147	1275	15965
148	1281	15923
149	1287	15876
150	1297	15893
151	1302	15841
152	1313	15856
153	1327	15912
154	1336	15903
155	1342	15869
156	1351	15866
157	1359	15854
158	1367	15832
159	1374	15807
160	1382	15796
161	1391	15792
162	1398	15763
163	1403	15708
164	1412	15711
165	1424	15740
166	1434	15744
167	1443	15746
168	1448	15698
169	1458	15697
170	1464	15661
171	1471	15642
172	1478	15616
173	1483	15568
174	1490	15545
175	1500	15545
176	1509	15549
177	1516	15520
178	1521	15482
179	1527	15443
180	1534	15416
181	1543	15415
182	1551	15408
183	1558	15382
184	1568	15384
185	1576	15376
186	1583	15350
187	1589	15315
188	1595	15289
189	1603	15275
190	1615	15298
191	1620	15263
192	1627	15239
193	1633	15205
194	1638	15171
195	1644	15132
196	1652	15126
197	1659	15105
198	1666	15082
199	1672	15049
200	1678	15025
201	1687	15019
202	1692	14978
203	1700	14966
204	1705	14934
205	1710	14893
206	1717	14875
207	1726	14878
208	1733	14857
209	1741	14842
210	1751	14848
211	1759	14842
212	1766	14823
213	1774	14805
214	1780	14785
215	1790	14785
216	1797	14773
217	1807	14772
218	1812	14740
219	1818	14714
220	1824	14683
221	1836	14704
222	1847	14718
223	1852	14690
224	1862	14691
225	1868	14663
226	1877	14667
227	1884	14645
228	1889	14616
229	1900	14622
230	1905	14595
231	1914	14589
232	1924	14593
233	1930	14569
234	1938	14558
235	1946	14547
236	1952	14523
237	1958	14498
238	1964	14474
239	1973	14469
240	1985	14492
241	1995	14495
242	2003	14488
243	2009	14463
244	2015	14438
245	2025	14439
246	2031	14418
247	2037	14393
248	2043	14369
249	2052	14366
250	2058	14341
251	2066	14333
252	2074	14325
253	2081	14306
254	2090	14305
255	2099	14304
256	2112	14329
257	2121	14325
258	2128	14308
259	2134	14282
260	2142	14277
261	2153	14288
262	2160	14268
263	2166	14247
264	2175	14243
265	2184	14242
266	2192	14232
267	2200	14221
268	2208	14214
269	2213	14185
270	2220	14168
271	2229	14161
272	2238	14160
273	2245	14146
274	2255	14150
275	2262	14132
276	2269	14118
277	2276	14101
278	2284	14093
279	2291	14073
280	2301	14081
281	2312	14087
282	2318	14067
283	2329	14074
284	2339	14075
285	2348	14072
286	2353	14049
287	2359	14027
288	2369	14026
289	2373	13997
290	2380	13980
291	2388	13971
292	2394	13949
293	2403	13944
294	2410	13934
295	2421	13937
296	2427	13919
297	2433	13901
298	2439	13876
299	2448	13872
300	2454	13854
301	2462	13843
302	2468	13827
303	2478	13827
304	2486	13818
305	2498	13829
306	2503	13804
307	2511	13796
308	2519	13790
309	2525	13769
310	2535	13768
311	2540	13742
312	2546	13723
313	2553	13711
314	2561	13699
315	2568	13688
316	2577	13684
317	2587	13685
318	2595	13679
319	2604	13673
320	2616	13686
321	2626	13688
322	2635	13683
323	2641	13666
324	2647	13644
325	2654	13630
326	2659	13607
327	2664	13584
328	2670	13563
329	2676	13545
330	2684	13537
331	2690	13518
332	2697	13504
333	2703	13487
334	2710	13470
335	2715	13448
336	2720	13423
337	2731	13432
338	2740	13427
339	2749	13423
340	2760	13431
341	2767	13417
342	2773	13399
343	2783	13397
344	2789	13380
345	2794	13357
346	2799	13335
347	2805	13318
348	2813	13310
349	2820	13298
350	2832	13306
351	2839	13293
352	2846	13280
353	2855	13275
354	2861	13257
355	2866	13236
356	2872	13220
357	2882	13218
358	2887	13199
359	2895	13190
360	2900	13170
361	2912	13179
362	2921	13175
363	2928	13161
364	2937	13159
365	2944	13144
366	2951	13131
367	2956	13110
368	2964	13102
369	2972	13096
370	2979	13083
371	2987	13072
372	2997	13075
373	3005	13067
374	3010	13047
375	3016	13029
376	3023	13017
377	3032	13012
378	3042	13013
379	3047	12992
380	3054	12980
381	3065	12982
382	3071	12968
383	3081	12969
384	3090	12965
385	3096	12946
386	3103	12936
387	3109	12920
388	3117	12909
389	3123	12893
390	3129	12879
391	3138	12875
392	3146	12866
393	3151	12844
394	3158	12833
395	3164	12816
396	3169	12798
397	3179	12796
398	3187	12790
399	3194	12779
400	3204	12776
401	3209	12757
402	3214	12736
403	3219	12719
404	3229	12718
405	3235	12701
406	3241	12685
407	3249	12680
408	3259	12678
409	3266	12666
410	3272	12653
411	3281	12646
412	3287	12630
413	3293	12615
414	3301	12608
415	3309	12602
416	3317	12592
417	3322	12576
418	3328	12559
419	3333	12539
420	3339	12526
421	3345	12508
422	3351	12496
423	3359	12485
424	3366	12476
425	3373	12465
426	3379	12448
427	3386	12437
428	3393	12428
429	3402	12422
430	3407	12404
431	3413	12387
432	3421	12380
433	3429	12373
434	3436	12363
435	3444	12355
436	3449	12338
437	3455	12323
438	3464	12320
439	3474	12319
440	3482	12309
441	3488	12296
442	3494	12283
443	3503	12277
444	3512	12273
445	3519	12264
446	3528	12257
447	3537	12255
448	3544	12244
449	3551	12232
450	3560	12228
451	3569	12224
452	3579	12225
453	3586	12211
454	3591	12195
455	3598	12184
456	3603	12166
457	3609	12151
458	3617	12146
459	3625	12135
460	3630	12118
461	3638	12113
462	3645	12101
463	3650	12085
464	3658	12075
465	3665	12067
466	3670	12048
467	3675	12031
468	3681	12019
469	3687	12003
470	3692	11985
471	3697	11969
472	3702	11951
473	3709	11943
474	3715	11928
475	3723	11919
476	3733	11919
477	3737	11901
478	3745	11893
479	3752	11884
480	3759	11871
481	3764	11855
482	3773	11850
483	3782	11848
484	3788	11835
485	3795	11824
486	3805	11824
487	3813	11815
488	3821	11808
489	3827	11794
490	3832	11778
491	3837	11762
492	3845	11754
493	3851	11741
494	3858	11730
495	3864	11719
496	3872	11710
497	3880	11704
498	3885	11688
499	3892	11678
500	3898	11665
501	3908	11662
502	3914	11650
503	3921	11640
504	3930	11634
505	3938	11629
506	3948	11627
507	3959	11630
508	3966	11619
509	3975	11616
510	3982	11604
511	3987	11589
512	3995	11580
513	4003	11573
514	4008	11559
515	4014	11545
516	4019	11529
517	4025	11515
518	4032	11508
519	4038	11495
520	4045	11482
521	4050	11469
522	4057	11458
523	4062	11442
524	4069	11434
525	4079	11432
526	4086	11420
527	4093	11412
528	4102	11408
529	4110	11402
530	4119	11395
531	4126	11385
532	4131	11371
533	4137	11359
534	4143	11345
535	4154	11346
536	4162	11339
537	4168	11328
538	4174	11314
539	4184	11313
540	4188	11296
541	4196	11288
542	4204	11281
543	4212	11274
544	4221	11271
545	4229	11263
546	4237	11255
547	4242	11241
548	4248	11229
549	4255	11220
550	4269	11228
551	4279	11227
552	4288	11220
553	4294	11210
554	4304	11206
555	4310	11195
556	4320	11191
557	4324	11176
558	4330	11164
559	4337	11154
560	4347	11151
561	4354	11143
562	4362	11133
563	4369	11125
564	4376	11114
565	4381	11100
566	4386	11087
567	4392	11073
568	4400	11065
569	4406	11056
570	4413	11045
571	4422	11041
572	4429	11030
573	4434	11017
574	4443	11011
575	4448	10997
576	4459	10997
577	4469	10996
578	4479	10992
579	4489	10991
580	4497	10985
581	4504	10975
582	4512	10966
583	4519	10957
584	4523	10941
585	4530	10932
586	4537	10921
587	4547	10919
588	4554	10910
589	4559	10896
590	4566	10887
591	4575	10881
592	4581	10869
593	4588	10860
594	4594	10849
595	4601	10840
596	4609	10831
597	4615	10820
598	4624	10815
599	4633	10811
600	4641	10804
601	4648	10794
602	4657	10790
603	4663	10778
604	4671	10772
605	4678	10763
606	4684	10749
607	4690	10737
608	4695	10725
609	4703	10717
610	4708	10704
611	4713	10690
612	4723	10688
613	4731	10680
614	4739	10672
615	4743	10658
616	4750	10648
617	4756	10637
618	4761	10623
619	4768	10613
620	4775	10605
621	4783	10596
622	4790	10587
623	4797	10579
624	4803	10568
625	4810	10558
626	4819	10553
627	4825	10543
628	4833	10534
629	4841	10528
630	4850	10522
631	4856	10513
632	4861	10499
633	4869	10491
634	4875	10480
635	4881	10469
636	4890	10463
637	4897	10454
638	4903	10444
639	4908	10430
640	4914	10418
641	4920	10407
642	4926	10396
643	4933	10387
644	4940	10379
645	4947	10369
646	4952	10356
647	4962	10352
648	4968	10343
649	4978	10340
650	4987	10335
651	4993	10324
652	4999	10313
653	5007	10305
654	5014	10297
655	5019	10284
656	5025	10272
657	5032	10263
658	5040	10257
659	5046	10245
660	5055	10241
661	5062	10232
662	5069	10222
663	5075	10211
664	5081	10201
665	5087	10190
666	5092	10178
667	5099	10167
668	5107	10161
669	5115	10155
670	5124	10150
671	5130	10138
672	5135	10126
673	5143	10118
674	5148	10106
675	5154	10095
676	5162	10089
677	5167	10076
678	5174	10066
679	5183	10061
680	5189	10050
681	5195	10041
682	5204	10035
683	5212	10028
684	5220	10021
685	5225	10009
686	5235	10006
687	5241	9995
688	5248	9987
689	5255	9977
690	5259	9964
691	5268	9958
692	5276	9951
693	5281	9938
694	5287	9928
695	5294	9919
696	5302	9912
697	5309	9903
698	5315	9894
699	5320	9881
700	5328	9874
701	5335	9866
702	5342	9856
703	5354	9857
704	5362	9849
705	5369	9840
706	5375	9831
707	5385	9828
708	5392	9819
709	5400	9811
710	5405	9799
711	5410	9787
712	5416	9776
713	5423	9768
714	5428	9755
715	5434	9744
716	5446	9745
717	5452	9735
718	5460	9729
719	5469	9724
720	5476	9714
721	5483	9706
722	5490	9698
723	5498	9689
724	5506	9683
725	5514	9677
726	5522	9669
727	5531	9665
728	5538	9655
729	5545	9647
730	5553	9640
731	5561	9634
732	5567	9623
733	5575	9616
734	5580	9604
735	5590	9600
736	5596	9590
737	5602	9581
738	5608	9570
739	5615	9561
740	5622	9552
741	5630	9545
742	5639	9540
743	5646	9531
744	5654	9525
745	5661	9517
746	5668	9508
747	5674	9497
748	5681	9490
749	5689	9482
750	5696	9473
751	5702	9463
752	5709	9455
753	5714	9443
754	5722	9435
755	5734	9435
756	5741	9428
757	5748	9419
758	5755	9410
759	5764	9405
760	5770	9395
761	5778	9387
762	5784	9378
763	5792	9370
764	5800	9363
765	5807	9355
766	5814	9346
767	5822	9339
768	5831	9334
769	5836	9323
770	5843	9314
771	5848	9303
772	5858	9299
773	5867	9294
774	5877	9290
775	5887	9285
776	5893	9275
777	5898	9264
778	5904	9255
779	5912	9247
780	5921	9242
781	5931	9238
782	5939	9230
783	5947	9225
784	5955	9217
785	5960	9206
786	5967	9197
787	5973	9188
788	5978	9176
789	5987	9170
790	5996	9165
791	6004	9158
792	6014	9154
793	6019	9142
794	6026	9134
795	6033	9126
796	6040	9117
797	6047	9109
798	6055	9102
799	6063	9095
800	6073	9091
801	6079	9081
802	6085	9071
803	6092	9063
804	6099	9054
805	6105	9044
806	6110	9033
807	6121	9030
808	6129	9023
809	6139	9019
810	6146	9011
811	6154	9004
812	6162	8997
813	6168	8988
814	6176	8981
815	6183	8972
816	6189	8962
817	6198	8956
818	6205	8947
819	6212	8940
820	6217	8928
821	6222	8917
822	6228	8908
823	6236	8901
824	6247	8898
825	6254	8888
826	6265	8887
827	6270	8875
828	6275	8864
829	6283	8856
830	6289	8848
831	6295	8838
832	6304	8831
833	6312	8825
834	6318	8816
835	6326	8808
836	6331	8797
837	6337	8788
838	6345	8780
839	6352	8771
840	6360	8765
841	6366	8756
842	6375	8750
843	6382	8741
844	6388	8732
845	6394	8721
846	6400	8713
847	6409	8707
848	6415	8698
849	6423	8690
850	6434	8687
851	6440	8678
852	6449	8672
853	6455	8662
854	6460	8652
855	6470	8647
856	6479	8642
857	6486	8634
858	6495	8628
859	6502	8619
860	6509	8611
861	6514	8600
862	6518	8588
863	6523	8577
864	6532	8571
865	6542	8567
866	6549	8558
867	6555	8549
868	6560	8538
869	6566	8528
870	6575	8523
871	6581	8514
872	6589	8507
873	6599	8501
874	6611	8500
875	6620	8495
876	6630	8489
877	6637	8482
878	6644	8474
879	6652	8467
880	6658	8457
881	6666	8450
882	6673	8441
883	6678	8431
884	6684	8421
885	6689	8410
886	6694	8400
887	6705	8396
888	6714	8391
889	6722	8384
890	6732	8379
891	6740	8372
892	6747	8364
893	6752	8353
894	6764	8351
895	6772	8344
896	6780	8337
897	6792	8335
898	6797	8324
899	6804	8316
900	6813	8310
901	6819	8301
902	6825	8292
903	6833	8285
904	6845	8283
905	6851	8273
906	6860	8266
907	6867	8259
908	6877	8254
909	6884	8246
910	6891	8237
911	6900	8232
912	6907	8223
913	6919	8221
914	6928	8215
915	6936	8208
916	6942	8198
917	6952	8194
918	6961	8189
919	6970	8182
920	6977	8173
921	6983	8164
922	6992	8159
923	7003	8155
924	7008	8144
925	7016	8137
926	7025	8131
927	7033	8124
928	7038	8114
929	7045	8106
930	7053	8099
931	7059	8089
932	7065	8080
933	7075	8075
934	7082	8066
935	7090	8060
936	7096	8051
937	7101	8040
938	7109	8033
939	7114	8022
940	7120	8013
941	7129	8007
942	7136	7999
943	7142	7990
944	7150	7982
945	7156	7973
946	7163	7965
947	7169	7955
948	7178	7950
949	7183	7939
950	7190	7931
951	7199	7925
952	7208	7919
953	7217	7913
954	7223	7904
955	7229	7895
956	7236	7886
957	7241	7875
958	7250	7870
959	7257	7861
960	7262	7851
961	7270	7844
962	7275	7835
963	7281	7825
964	7288	7817
965	7297	7811
966	7304	7802
967	7310	7793
968	7320	7788
969	7329	7782
970	7336	7774
971	7343	7766
972	7351	7759
973	7359	7752
974	7366	7744
975	7376	7739
976	7383	7731
977	7389	7721
978	7396	7713
979	7405	7707
