iter	MAPE	MAE
0	0.9047837296	9.085487561
1	0.816451472	8.257874485
2	0.7358381249	7.495529282
3	0.6649460148	6.8315738
4	0.5991601882	6.201635603
5	0.5413375656	5.655094174
6	0.4885976676	5.152848007
7	0.4429290013	4.718690173
8	0.4021008707	4.325409053
9	0.3652185178	3.978729107
10	0.3310614344	3.647654299
11	0.3009222954	3.353283583
12	0.2743632252	3.090049153
13	0.2510059635	2.857097172
14	0.2314848233	2.664885879
15	0.2145197556	2.49338545
16	0.2000833511	2.343232835
17	0.1878879676	2.215346067
18	0.1781228868	2.111725517
19	0.17028472	2.022830558
20	0.1642817319	1.954897669
21	0.1593956317	1.896025245
22	0.1554293509	1.847914863
23	0.1518522818	1.801283462
24	0.1491041981	1.764158924
25	0.1464827998	1.726930491
26	0.1443972224	1.69689956
27	0.1429171805	1.674363418
28	0.1418077331	1.654820492
29	0.1407519647	1.636601039
30	0.1394428625	1.613223606
31	0.1385306031	1.596106971
32	0.1376993026	1.580834492
33	0.1369575582	1.56541016
34	0.1363779838	1.556375382
35	0.1361008556	1.549945193
36	0.1359310783	1.545477231
37	0.1353467958	1.533600525
38	0.1349323928	1.524123557
39	0.1349083227	1.522312496
40	0.1346005101	1.515008567
41	0.134362976	1.510691818
42	0.1340642856	1.505417522
43	0.1337010202	1.498643653
44	0.1335782448	1.495090587
45	0.1335173372	1.493558803
46	0.1333577295	1.489204274
47	0.1332652504	1.486043521
48	0.1332211814	1.484334236
49	0.1330999764	1.480950375
50	0.1329838213	1.479221072
51	0.1328563681	1.475683511
52	0.1328376873	1.47496822
53	0.1325248569	1.469937209
54	0.1323159307	1.466325807
55	0.1322276953	1.463897795
56	0.1321706767	1.462082227
57	0.132021444	1.459767363
58	0.1317884088	1.45595455
59	0.1317017056	1.453946942
60	0.1316382316	1.453114408
61	0.1315159405	1.450464941
62	0.1314187677	1.44875508
63	0.13127366	1.446361406
64	0.1311923553	1.445028083
65	0.1311743767	1.444424198
66	0.1311738794	1.443566526
67	0.131110198	1.442187207
68	0.1310562903	1.440516713
69	0.1309268779	1.438569141
70	0.1309108474	1.438083386
71	0.130874239	1.437006133
72	0.130863707	1.43598429
73	0.1307845209	1.434546655
74	0.1307663463	1.433943625
75	0.1306605453	1.432415736
76	0.1305903344	1.431327638
77	0.1305475151	1.43035781
78	0.1304653333	1.429070065
79	0.1304469346	1.428769588
80	0.1303404711	1.427030595
81	0.1303022638	1.425515869
82	0.1302321801	1.42434749
83	0.1301015108	1.422553834
84	0.1300134323	1.421095659
85	0.1299495004	1.41960281
86	0.1298957172	1.418206098
87	0.1298213108	1.417405421
88	0.129774651	1.416197978
89	0.129754632	1.415677733
90	0.1297188784	1.415039512
91	0.1296184061	1.413532269
92	0.1295237279	1.412040574
93	0.1294913502	1.411380581
94	0.1294271201	1.410432882
95	0.1293630518	1.40938882
96	0.1293183703	1.408610336
97	0.1292344654	1.407395402
98	0.1292159369	1.407193257
99	0.1292049311	1.406675961
100	0.1291561125	1.405568809
101	0.1291507898	1.40553802
102	0.1291010004	1.404688259
103	0.1290497941	1.403998147
104	0.129034811	1.403732907
105	0.1290348201	1.403718366
106	0.1289825275	1.403294391
107	0.1289746136	1.403241835
108	0.1289338576	1.402907551
109	0.1289230025	1.402868878
110	0.128909183	1.402517849
111	0.128892453	1.402306326
