iter	MAPE	MAE
0	0.2594825511	2.301094139
1	0.2571098347	2.283485366
2	0.2548673776	2.266532808
3	0.2525178473	2.248998523
4	0.2503154781	2.232922518
5	0.2480696738	2.21609731
6	0.2456931752	2.199172508
7	0.2436003174	2.183596571
8	0.2415656233	2.168585334
9	0.2395852769	2.153936446
10	0.237520433	2.138396545
11	0.2354892457	2.12312107
12	0.2335169362	2.107900137
13	0.2313300035	2.092174437
14	0.2294289979	2.077815923
15	0.2274236327	2.063313777
16	0.2254984128	2.048429538
17	0.2236535321	2.035191314
18	0.2217631752	2.020676135
19	0.2199955783	2.007585057
20	0.218187666	1.995008955
21	0.216589181	1.982971434
22	0.214991345	1.971202472
23	0.2133044839	1.958483921
24	0.2117504477	1.947232489
25	0.210190709	1.935656119
26	0.2085123715	1.923944272
27	0.2069622866	1.913128322
28	0.2054282518	1.902426007
29	0.2039220976	1.891773633
30	0.2023978789	1.881195018
31	0.2009160815	1.870743118
32	0.1991821402	1.859312138
33	0.1977777203	1.849696308
34	0.1965402699	1.840897223
35	0.1950178122	1.830715548
36	0.1935023412	1.820812232
37	0.1921491601	1.811323647
38	0.1908054692	1.801990948
39	0.1896336456	1.793569172
40	0.1883354407	1.784591171
41	0.1870455717	1.775789585
42	0.1857455234	1.767036354
43	0.1845250734	1.758372922
44	0.1833546792	1.750014191
45	0.1821196735	1.741113776
46	0.1810868028	1.733420399
47	0.1799854122	1.725730965
48	0.1790081658	1.719001322
49	0.1780449798	1.712179724
50	0.1770870877	1.705269791
51	0.1761652799	1.698578845
52	0.17512732	1.691381664
53	0.1740559109	1.684059991
54	0.1730168739	1.676949851
55	0.1721635297	1.671073663
56	0.1711733425	1.664223749
57	0.1703232	1.657960147
58	0.169499125	1.651977067
59	0.1687242506	1.646259452
60	0.1679578648	1.640743787
61	0.1672422343	1.635627595
62	0.1663731882	1.630019258
63	0.1655211549	1.624251206
64	0.1647309516	1.618567776
65	0.1640677191	1.614137054
66	0.16335359	1.609461902
67	0.1625691286	1.604540753
68	0.1618060912	1.599492216
69	0.1610474921	1.594233883
70	0.160312691	1.58945163
71	0.1596262872	1.584584719
72	0.1589461562	1.579712296
73	0.1581944042	1.574600183
74	0.1574890061	1.569970888
75	0.1567550854	1.565137632
76	0.1561303964	1.560731561
77	0.1555637392	1.556919851
78	0.1549337459	1.55256892
79	0.1542959709	1.548478222
80	0.1536986267	1.544223984
81	0.1531685825	1.540695902
82	0.1526586156	1.537410229
83	0.1521399817	1.534002895
84	0.151624061	1.5304247
85	0.1511509583	1.527278405
86	0.1506705535	1.523927665
87	0.1501755173	1.520451849
88	0.1497156289	1.517294554
89	0.1492668256	1.514284305
90	0.1487735218	1.51113225
91	0.148316665	1.508221233
92	0.1478712151	1.505064742
93	0.1473477206	1.501695814
94	0.1469284539	1.498838073
95	0.1465286577	1.496237428
96	0.1461055967	1.493417615
97	0.1456850897	1.490529306
98	0.145279994	1.487791588
99	0.1449015565	1.485280388
100	0.1445176498	1.482964327
101	0.1441332642	1.480581232
102	0.1437555017	1.477998395
103	0.1433944261	1.475691238
104	0.1430258149	1.473361263
105	0.1426649315	1.470975031
106	0.1423233988	1.468787647
