iter	Passed	Remaining
0	14	34943
1	27	32755
2	39	31758
3	51	30790
4	62	30033
5	73	29455
6	85	29349
7	97	29094
8	108	28956
9	121	28978
10	132	28817
11	143	28608
12	155	28475
13	167	28552
14	179	28524
15	192	28659
16	204	28661
17	215	28574
18	227	28470
19	239	28502
20	252	28550
21	263	28518
22	276	28614
23	287	28447
24	297	28273
25	308	28201
26	320	28156
27	332	28134
28	343	28092
29	354	28031
30	367	28082
31	378	28006
32	389	27952
33	400	27858
34	410	27758
35	422	27712
36	433	27669
37	445	27682
38	456	27655
39	467	27569
40	478	27528
41	490	27523
42	501	27506
43	513	27509
44	525	27504
45	536	27467
46	547	27433
47	559	27407
48	570	27381
49	581	27314
50	592	27288
51	604	27310
52	616	27292
53	627	27263
54	639	27257
55	650	27227
56	661	27204
57	672	27171
58	684	27154
59	695	27113
60	706	27087
61	717	27071
62	729	27068
63	741	27059
64	753	27063
65	763	27013
66	776	27050
67	787	27017
68	799	26995
69	811	26998
70	822	26988
71	834	26987
72	845	26965
73	857	26964
74	869	26944
75	881	26966
76	893	26954
77	905	26943
78	917	26956
79	929	26965
80	941	26951
81	953	26955
82	965	26949
83	976	26922
84	986	26874
85	999	26885
86	1011	26879
87	1022	26861
88	1034	26853
89	1045	26826
90	1055	26772
91	1066	26760
92	1078	26742
93	1090	26751
94	1102	26754
95	1114	26749
96	1124	26709
97	1136	26701
98	1146	26654
99	1158	26647
100	1172	26685
101	1185	26702
102	1197	26697
103	1209	26707
104	1222	26713
105	1233	26698
106	1245	26684
107	1257	26678
108	1268	26671
109	1280	26664
110	1292	26652
111	1304	26657
112	1316	26640
113	1326	26600
114	1338	26590
115	1350	26588
116	1363	26596
117	1377	26646
118	1391	26680
119	1410	26795
120	1422	26798
121	1439	26876
122	1454	26933
123	1471	27010
124	1488	27095
125	1500	27089
126	1519	27198
127	1533	27226
128	1546	27220
129	1558	27211
130	1569	27188
131	1581	27177
132	1593	27168
133	1604	27135
134	1616	27116
135	1629	27121
136	1639	27088
137	1651	27070
138	1663	27061
139	1675	27047
140	1687	27034
141	1698	27014
142	1710	26996
143	1722	26982
144	1733	26961
145	1744	26933
146	1756	26918
147	1768	26914
148	1778	26861
149	1789	26846
